# ----------------------------------------,,,,,
# Top Events,,,,,
# 20210101-20210711,,,,,
# ----------------------------------------,,,,,
,,,,,
Event Label,Total Events,Unique Events,Event Value,Avg. Value,Status
pdf,"437,702","10,211","2,203,070,529,969","5,033,265.85",
tif,"167,569","1,260","108,618,084,022","648,199.15",Done
jpg,"135,113","1,809","214,718,793,858","1,589,179.38",Done
msg,"73,881","1,975","76,307,760,355","1,032,846.88",
txt,"51,243","1,269","23,077,806,215","450,360.17",Done
xlsx,"23,649","1,997","45,776,545,916","1,935,665.18",Done
eml,"22,653",388,"20,439,905,357","902,304.57",
docx,"11,283","1,513","5,479,198,125","485,615.36",
png,"11,020",587,"9,652,746,395","875,929.80",Done
tiff,"8,477",69,"2,104,412,402","248,249.66",Done
xls,"8,168",773,"7,611,720,301","931,895.24",Done
zip,"6,719","1,596","3,462,591,282,984","515,343,247.95",
pst,"5,813",989,"9,588,631,345,797","1,649,515,111.96",
doc,"5,028",707,"2,458,531,869","488,968.15",
csv,"4,717","1,670","24,371,093,878","5,166,651.24",Done
xml,"4,453",208,"18,078,161,527","4,059,771.28",Done
jpeg,"4,443",221,"7,596,575,949","1,709,785.27",Done
mp4,"4,008",353,"869,536,676,053","216,950,268.48",
dat,"3,881","1,241","36,608,123,540","9,432,652.29",
htm,"3,271",177,"76,850,087","23,494.37",Done
dwg,"3,083",151,"11,368,720,515","3,687,551.25",
html,"2,614",166,"5,583,826,199","2,136,123.26",Done
mov,"2,574",243,"277,406,183,557","107,772,410.08",
mhtml,"1,842",12,"986,368,502","535,487.79",Done
none,"1,831",158,"63,865,628,233","34,880,190.19",
db,"1,699",360,"203,807,888","119,957.56",
avi,"1,620",48,"188,646,200,082","116,448,271.66",
wav,"1,485",107,"45,463,156,512","30,614,920.21",
pptx,"1,292",238,"25,819,015,635","19,983,758.23",
opt,"1,052",780,"1,094,955,224","1,040,831.96",
rtf,987,107,"132,218,011","133,959.48",
heic,872,49,"2,444,945,505","2,803,836.59",
xlsm,824,195,"1,790,147,750","2,172,509.41",
dll,768,44,"1,016,390,717","1,323,425.41",
m4a,671,87,"17,894,367,393","26,668,207.74",
mp3,631,108,"25,335,205,556","40,150,880.44",
gif,605,91,"184,843,282","305,526.09",Done
log,576,198,"648,648,313","1,126,125.54",
dgn,564,15,"1,005,232,142","1,782,326.49",
mpg,562,86,"333,112,120,514","592,726,193.09",
ptx,541,175,"178,356,398","329,679.11",
crs,471,191,"504,866","1,071.90",
lib,458,188,"543,822","1,187.38",
mpp,456,31,"341,058,560","747,935.44",
mbox,435,114,"1,385,087,246,494","3,184,108,612.63",
ini,410,85,"1,216,075","2,966.04",
lfp,382,271,"1,502,477,184","3,933,186.35",
bak,372,57,"5,830,591,309","15,673,632.55",
exe,365,108,"17,146,514,047","46,976,750.81",
dcm,352,2,"67,876,936","192,832.20",
emlx,346,4,"3,019,555","8,727.04",
xer,333,23,"2,302,728,421","6,915,100.36",
bmp,312,37,"161,939,534","519,036.97",Done
xlsb,308,42,"1,662,874,831","5,398,944.26",
message,286,1,"258,818,560","904,960.00",
lnk,273,98,"520,419","1,906.30",
dii,260,183,"128,607,724","494,645.09",
amr,257,13,"5,763,630","22,426.58",
ppt,243,83,"1,388,545,614","5,714,179.48",
psd,212,24,"19,783,940,617","93,320,474.61",
js,190,30,"12,261,535","64,534.39",
pluginpayloadattachment,187,10,"68,919,275","368,552.27",
nrl,181,14,"19,068",105.35,
rvt,177,15,"9,505,800,192","53,705,085.83",
lst,176,103,"34,179,085","194,199.35",
swf,169,4,"17,033,193","100,788.12",
url,169,31,"26,442",156.46,
lge,168,4,"79,005,558","470,271.18",
ics,154,26,"21,185,699","137,569.47",
vob,154,42,"90,256,203,776","586,079,245.30",
av3,138,4,"16,615,743,829","120,403,940.79",
wma,134,22,"1,890,915,030","14,111,306.19",
mht,129,24,"109,120,951","845,898.84",Done
vcf,128,30,"269,935","2,108.87",
lef,122,27,"5,824,364,354","47,740,691.43",
wpd,121,11,"5,794,863","47,891.43",
copy0,118,5,"339,043,844","2,873,252.92",
shx,116,26,"1,999,191","17,234.41",
mui,115,3,"9,527,976","82,851.97",
inf,111,57,"185,395","1,670.23",
out,110,10,"1,325,270,167","12,047,910.61",
cpt,106,26,"50,919,364","480,371.36",
download,106,9,"15,498,822","146,215.30",
ttf,101,20,"37,252,472","368,836.36",
tmp,97,49,"423,893,682","4,370,037.96",
dmg,96,6,"1,515,157,625","15,782,891.93",
aspx,95,6,"1,582,645","16,659.42",
fsa,94,2,"12,754,904","135,690.47",
warc,93,3,"845,539,806","9,091,825.87",
bin,91,23,"7,812,435,186","85,850,936.11",
css,87,38,"1,477,443","16,982.10",
ifo,86,22,"4,835,328","56,224.74",
xmef,86,43,"2,520,314,727","29,305,985.20",
bup,85,20,"4,567,040","53,729.88",
p7s,85,10,"905,260","10,650.12",
dwl,83,24,"4,331",52.18,
hdf,79,3,"21,665,717","274,249.58",
dbf,78,17,"124,110,642","1,591,162.08",
mdb,78,37,"637,956,096","8,178,924.31",
cms,74,37,"45,301,760","612,185.95",
las,74,4,"209,602,782","2,832,470.03",
rws,74,7,"2,286,276,513","30,895,628.55",
smi,74,18,"7,711,630","104,211.22",
plist,73,15,"173,295","2,373.90",
wmv,72,21,"23,221,234,684","322,517,148.39",
webp,68,7,"4,509,042","66,309.44",
3gp,64,14,"291,155,007","4,549,296.98",
cdr,63,5,"142,271,061","2,258,270.81",
mts,62,19,"39,897,059,328","643,500,956.90",
pkg,62,1,"8,101,522","130,669.71",
nef,61,1,"1,755,125,343","28,772,546.61",
webm,61,3,"1,066,811,694","17,488,716.30",
dav,60,2,"5,833,273,344","97,221,222.40",
nwd,60,10,"1,031,114,097","17,185,234.95",
sbf,59,28,"741,570,805","12,568,996.69",
1,58,9,"61,046,215,606","1,052,520,958.72",
msf,57,4,"78,932,342","1,384,777.93",
dwl2,55,17,"11,040",200.73,
ichat,54,1,"295,373","5,469.87",
opus,54,4,"8,969,876","166,108.81",
m4v,53,13,"3,073,471,000","57,990,018.87",
rar,52,13,"54,256,773,880","1,043,399,497.69",
err,51,24,"69,194","1,356.75",
ovr,50,5,"4,214,139,160","84,282,783.20",
hid,49,1,"40,288,130","822,206.73",
dtm,48,5,"13,906,043","289,709.23",
vid,48,20,"869,010","18,104.38",
thl,47,1,"1,194,874","25,422.85",
